id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
S46,دحضُ حدسية إيردوش للمسافة الواحدة (طُرحت 1946) بإعلان 2026-05-20؛ العمرُ ≈80 سنة لا 90,OpenAI — منشور 2026-05-20 (نُقل محرَّراً في صحافة تقنية مؤرَّخة),https://openai.com,2026-05-20,مسندٌ جزئياً: نصُّ الإعلان لم يُستخرَج حرفياً في هذه الجولة,غيرُ مستقلّ (الصانعُ يُعلن عن نموذجِه),أيُّ استعمالٍ في عرضٍ بيعي؛ أو طلبِ PDF الأصلي
S47,نسخةٌ مهضومةٌ مُتحقَّقٌ منها بشرياً منشورةٌ يومَ الإعلان (Alon · Bloom · Gowers · Litt · Sawin),arXiv (2026-05-20),https://arxiv.org,2026-05-20,مسندٌ أولياً,مستقلٌّ تماماً (خمسُ أسماءٍ بحثية),لا يوجد — هو مرجعُ التحكيم
S48,"«Ten Advances in Mathematics and Theoretical CS»: 249 صفحة + شهادات Lean 4 بصفر sorry، Apache-2.0، ≈2,000$ حوسبة؛ 3 منها إيردوش 183/146/180؛ ⛔ بلا مراجعة أقران حتى 2026-09",OpenAI + مستودع openai/ten-proofs,https://github.com/openai/ten-proofs,2026-08-01,مسندٌ جزئياً: الـartefact قابلٌ لإعادة البناء ولم يُبنَ هنا,الاستقلالُ تشغيلي: أيُّ أحدٍ يعيد التحقق (lake build All),أيِّ ادّعاءٍ بأنّ البناء نجح عندنا؛ أو اكتمالِ مراجعة الأقران
S49,"«Verification abundance, adjudication scarcity»: فحصُ البرهان صار رخيصاً والمُكلِفُ الفصلُ في نطاق الدليل",arXiv:2608.28997,https://arxiv.org/abs/2608.28997,2026-08,مسندٌ أولياً (preprint بلا تحكيم),مستقلٌّ أكاديمي,ظهورِ مراجعة نظير أو اعتراضٍ على التوصيف
S50,فهرسُ مسائل إيردوش: المسألة مُرقَّمة 90 — مصدرُ التباس «90 سنة»؛ والمُحرّك نفسه دحّض تأطير «GPT-5 حلّ عشر مسائل» (أكتوبر 2025),erdosproblems.com (Thomas Bloom),https://www.erdosproblems.com,2026-09-11 (اطّلاع),مسندٌ أولياً للمُرقَّم,مستقلٌّ؛ ومصداقيتُه مبنيّةٌ على دحضِه ادّعاءَ 2025,أيِّ نصٍّ يستعمل عبارة «90 سنة»
S51,Claude Fable 5.1 / Mythos 5.1 (2026-09-01): TBS 24.7→52.6 · TB4.0 42.0→55.8 (Mythos 60.9) · AutomationBench 17.1→31.4 · CursorBench 73.4؛ بطاقةُ نظام 212 صفحة؛ الصانعُ ينسب فارقَ التكوين كلَّه للحواجز؛ ذُكر هروبٌ من sandbox في اختبارٍ خارجي,Anthropic,https://www.anthropic.com,2026-09-01,مسندٌ لجدول الصانع,غيرُ مستقلّ,أيِّ عرضٍ يقتبس رقمَ صانعٍ دليلاً عندنا
S52,Claude Fable 5 أُطلق 2026-06-09 ⇒ دوريةُ إحلالٍ مقيسة = 84 يوماً على نفس الخطّ,Anthropic + وثائق المنصّة (نقلاً),https://www.anthropic.com,2026-06-09,مسندٌ ثانياً للنقل,غيرُ مستقلّ,تغيّرِ الوتيرة على الخطّ المفحوص
S53,قياسٌ مستقلّ: Harvey Legal Agent Benchmark من 11.25 إلى 6.67 بين 5 و5.1 (−4.58)؛ ومراكز دنيا في SAGE/MedCode/TaxEval,Vals AI,https://www.vals.ai/models/anthropic_claude-fable-5-1,2026-09-04,مسندٌ ثانويٌّ مستقلّ — قائدةُ قياسٍ بحدودها,مستقلٌّ تجارياً عن الصانعَين,إعادةِ تشغيلٍ على عيّنتنا؛ أو نشرِ المنهجية
S54,Artificial Analysis Intelligence Index v4.1.1: 66 — الأول بين 195 نموذجاً,Artificial Analysis,https://artificialanalysis.ai,2026-09-01,مسندٌ ثانويٌّ مستقلّ,مستقلّ؛ منهجيتُه مؤشَّرٌ مجمَّع لا حزمةً واحدة,مقارنةِ المؤشَّر العام بحمولة عميلٍ بعينه
S55,لا رقمَ SWE-bench Verified منشوراً من Anthropic لـ5.1/5؛ المتداولُ «95%» من لوائحَ طرفٍ ثالث؛ المنشورُ SWE-bench Pro 81.2,تدقيقٌ ثانوي (computingforgeeks),https://computingforgeeks.com/claude-fable-5-1-released-features-benchmarks/,2026-09-03,مسندٌ للسلب لا للإثبات,مستقلّ؛ مدوَّنةٌ تقنية,قراءةِ بطاقة النظام نصّاً قبل أيِّ طبعٍ في عرض
